study,pair,date,side,outcome,tie,k
single pct_b,GBPUSD,2016-08-15,bottom,reversal,False,3
single pct_b,GBPUSD,2016-09-07,top,reversal,False,2
single pct_b,GBPUSD,2016-09-19,bottom,continuation,False,10
single pct_b,GBPUSD,2016-10-05,bottom,continuation,False,2
single pct_b,GBPUSD,2016-11-04,top,continuation,False,5
single pct_b,GBPUSD,2016-12-05,top,reversal,False,8
single pct_b,GBPUSD,2017-01-16,bottom,reversal,False,1
single pct_b,GBPUSD,2017-01-24,top,continuation,False,7
single pct_b,GBPUSD,2017-03-02,bottom,continuation,False,4
single pct_b,GBPUSD,2017-04-19,top,continuation,False,12
single pct_b,GBPUSD,2017-05-29,bottom,reversal,False,2
single pct_b,GBPUSD,2017-06-09,bottom,continuation,False,7
single pct_b,GBPUSD,2017-06-30,top,reversal,False,3
single pct_b,GBPUSD,2017-08-01,top,reversal,False,3
single pct_b,GBPUSD,2017-08-16,bottom,reversal,False,9
single pct_b,GBPUSD,2017-09-08,top,continuation,False,1
single pct_b,GBPUSD,2017-09-15,top,continuation,False,1
single pct_b,GBPUSD,2017-11-03,bottom,reversal,False,5
single pct_b,GBPUSD,2017-11-30,top,continuation,False,1
single pct_b,GBPUSD,2018-01-01,top,continuation,False,2
single pct_b,GBPUSD,2018-01-15,top,continuation,False,2
single pct_b,GBPUSD,2018-01-19,top,continuation,False,2
single pct_b,GBPUSD,2018-01-25,top,reversal,False,2
single pct_b,GBPUSD,2018-03-22,top,reversal,False,5
single pct_b,GBPUSD,2018-04-17,top,reversal,False,1
single pct_b,GBPUSD,2018-04-30,bottom,continuation,False,1
single pct_b,GBPUSD,2018-05-02,bottom,continuation,False,6
single pct_b,GBPUSD,2018-05-28,bottom,reversal,False,7
single pct_b,GBPUSD,2018-06-20,bottom,reversal,False,2
single pct_b,GBPUSD,2018-06-28,bottom,reversal,False,5
single pct_b,GBPUSD,2018-07-20,bottom,reversal,False,1
single pct_b,GBPUSD,2018-08-07,bottom,continuation,False,3
single pct_b,GBPUSD,2018-09-14,top,continuation,False,4
single pct_b,GBPUSD,2018-09-21,top,reversal,False,1
single pct_b,GBPUSD,2018-10-25,bottom,continuation,False,3
single pct_b,GBPUSD,2018-10-31,bottom,reversal,False,1
single pct_b,GBPUSD,2018-12-11,bottom,reversal,False,5
single pct_b,GBPUSD,2019-01-14,top,continuation,False,4
single pct_b,GBPUSD,2019-01-24,top,reversal,False,8
single pct_b,GBPUSD,2019-02-27,top,reversal,False,4
single pct_b,GBPUSD,2019-04-24,bottom,reversal,False,4
single pct_b,GBPUSD,2019-05-17,bottom,continuation,False,2
single pct_b,GBPUSD,2019-05-23,bottom,continuation,False,6
single pct_b,GBPUSD,2019-06-17,bottom,continuation,False,1
single pct_b,GBPUSD,2019-07-10,bottom,reversal,False,1
single pct_b,GBPUSD,2019-07-17,bottom,reversal,False,2
single pct_b,GBPUSD,2019-07-30,bottom,continuation,False,2
single pct_b,GBPUSD,2019-08-26,top,reversal,False,4
single pct_b,GBPUSD,2019-09-16,top,reversal,False,7
single pct_b,GBPUSD,2019-10-14,top,continuation,False,1
single pct_b,GBPUSD,2019-10-16,top,continuation,False,1
single pct_b,GBPUSD,2019-12-04,top,continuation,False,1
single pct_b,GBPUSD,2019-12-13,top,reversal,False,1
single pct_b,GBPUSD,2020-02-03,top,reversal,False,1
single pct_b,GBPUSD,2020-02-07,bottom,reversal,False,4
single pct_b,GBPUSD,2020-03-02,bottom,reversal,False,3
single pct_b,GBPUSD,2020-03-13,bottom,continuation,False,1
single pct_b,GBPUSD,2020-05-18,bottom,reversal,False,1
single pct_b,GBPUSD,2020-06-02,top,continuation,False,3
single pct_b,GBPUSD,2020-07-28,top,continuation,False,2
single pct_b,GBPUSD,2020-08-31,top,reversal,False,4
single pct_b,GBPUSD,2020-09-11,bottom,reversal,False,3
single pct_b,GBPUSD,2020-10-22,top,reversal,False,4
single pct_b,GBPUSD,2020-11-09,top,continuation,False,10
single pct_b,GBPUSD,2020-12-17,top,reversal,False,2
single pct_b,GBPUSD,2020-12-31,top,reversal,False,7
single pct_b,USDJPY,2009-02-05,top,continuation,False,8
single pct_b,USDJPY,2009-02-18,top,continuation,False,4
single pct_b,USDJPY,2009-04-24,bottom,reversal,False,4
single pct_b,USDJPY,2009-05-13,bottom,reversal,False,4
single pct_b,USDJPY,2009-06-05,top,reversal,False,2
single pct_b,USDJPY,2009-07-08,bottom,reversal,False,5
single pct_b,USDJPY,2009-08-07,top,reversal,False,2
single pct_b,USDJPY,2009-09-11,bottom,reversal,False,6
single pct_b,USDJPY,2009-09-25,bottom,continuation,False,8
single pct_b,USDJPY,2009-10-23,top,reversal,False,3
single pct_b,USDJPY,2009-11-25,bottom,continuation,False,1
single pct_b,USDJPY,2010-01-22,bottom,reversal,False,5
single pct_b,USDJPY,2010-02-17,top,continuation,False,1
